,tp,t2m,t2m_d18O,t2m_dexc,decimalyear
2004-03-14,0.030994415060000002,215.09934375,-59.44482156249998,-59.44482156249998,2004.1994535519125
2004-03-15,0.0033378600800000003,215.37262166666667,-59.31091538333332,-59.31091538333332,2004.2021857923498
2004-03-16,0.0038146972600000004,216.38914624999998,-58.8128183375,-58.8128183375,2004.204918032787
2004-03-17,0.0038146972800000003,215.61072375,-59.194245362499984,-59.194245362499984,2004.207650273224
2004-03-18,0.01239776596,216.94097166666666,-58.54242388333333,-58.54242388333333,2004.2103825136612
2004-03-19,0.0009536743200000001,215.18831,-59.40122809999998,-59.40122809999998,2004.2131147540983
2004-03-20,0.0,212.7799858333333,-60.58130694166667,-60.58130694166667,2004.2158469945355
2004-03-21,0.00476837152,214.74570708333331,-59.61810352916666,-59.61810352916666,2004.2185792349726
2004-03-22,0.00190734862,215.63740583333333,-59.18117114166665,-59.18117114166665,2004.22131147541
2004-03-23,0.0033378601000000003,214.41635333333332,-59.77948686666666,-59.77948686666666,2004.224043715847
2004-03-24,0.0052452087,217.67499291666664,-58.18275347083333,-58.18275347083333,2004.2267759562842
2004-03-25,0.0,215.45074250000002,-59.27263617499998,-59.27263617499998,2004.2295081967213
2004-03-26,0.0,217.92034833333332,-58.062529316666655,-58.062529316666655,2004.2322404371585
2004-03-27,0.29230117569999997,227.80387,-53.21960369999999,-53.21960369999999,2004.2349726775956
2004-03-28,0.9593963575000001,234.48988333333332,-49.94345716666666,-49.94345716666666,2004.2377049180327
2004-03-29,0.2250671395,230.16029916666665,-52.06495340833333,-52.06495340833333,2004.24043715847
2004-03-30,0.24700164919999995,231.247345,-51.53230094999999,-51.53230094999999,2004.2431693989072
2004-03-31,0.1330375675,227.72851916666664,-53.256525608333334,-53.256525608333334,2004.2459016393443
2004-04-01,0.04434585576,218.62621416666664,-57.71665505833333,-57.71665505833333,2004.2486338797814
2004-04-02,0.0014305114800000002,215.76533333333336,-59.11848666666664,-59.11848666666664,2004.2513661202186
2004-04-03,0.12540817356,222.40458333333333,-55.86525416666666,-55.86525416666666,2004.2540983606557
2004-04-04,0.01764297478,218.51533791666668,-57.770984420833315,-57.770984420833315,2004.2568306010928
2004-04-05,0.1597404479,219.3244116666667,-57.37453828333331,-57.37453828333331,2004.25956284153
2004-04-06,1.22451782,229.32042875000002,-52.47648991249998,-52.47648991249998,2004.2622950819673
2004-04-07,0.04673004141999999,223.99600208333334,-55.08545897916665,-55.08545897916665,2004.2650273224044
2004-04-08,0.016212463280000002,218.29177916666666,-57.88052820833333,-57.88052820833333,2004.2677595628415
